name,mz,rt,CTRL-T01_F01,CTRL-T01_F01_2,CTRL-T01_F04,CTRL-T01_F04_2,CTRL-T01_F05,CTRL-T01_F05_2,CTRL-T01_F11,CTRL-T01_F11_2,CTRL-T01_F15,CTRL-T01_F15_2,CTRL-T01_F17,CTRL-T01_F17_2,CTRL-T01_F23,CTRL-T01_F23_2,CTRL-T01_F26,CTRL-T01_F26_2,CTRL-T01_F33,CTRL-T01_F33_2,CTRL-T01_F38,CTRL-T01_F38_2,PRO-T01_F02,PRO-T01_F02_2,PRO-T01_F07,PRO-T01_F07_2,PRO-T01_F08,PRO-T01_F08_2,PRO-T01_F17,PRO-T01_F17_2,PRO-T01_F19,PRO-T01_F19_2,PRO-T01_F20,PRO-T01_F20_2,PRO-T01_F28,PRO-T01_F28_2,PRO-T01_F31,PRO-T01_F31_2,PRO-T01_F35,PRO-T01_F35_2,PRO-T01_F39,PRO-T01_F39_2,SYN-T01_F01,SYN-T01_F01_2,SYN-T01_F02,SYN-T01_F02_2,SYN-T01_F09,SYN-T01_F09_2,SYN-T01_F12,SYN-T01_F12_2,SYN-T01_F17,SYN-T01_F17_2,SYN-T01_F22,SYN-T01_F22_2,SYN-T01_F31,SYN-T01_F31_2,SYN-T01_F33,SYN-T01_F33_2,SYN-T01_F35,SYN-T01_F35_2,SYN-T01_F37,SYN-T01_F37_2
96857,221.154,1034.465333,0,2676390,0,4602820,38356830,0,2133240,8676800,3600150,0,8090740,0,3556910,5340440,0,4070950,0,1493770,4651620,7266710,7908890,3803960,2466250,2869560,1492300,20223990,0,3816100,0,5642420,2360200,27494880,0,61410820,0,5569280,2982130,0,55583310,0,0,13520530,4493930,5612480,0,0,4790080,2529190,0,3200080,4492420,0,2038290,7300470,6566800,23629600,0,0,0,0
100641,222.135,857.1786667,11853180,14628860,4410198,16975219,18843523,22049820,8484560,15483560,21865932.5,21146310,7223090,14311010,64081380,3970390,14270650,31183620,17340960,9921239,33310450,33644345,18712640,12580750,10517740,6712650,20969520,12214120,24954796,24791440,14812620,16860830,12941740,5725120,4346930,12399440,2693115,0,6734520,3957620,10589530,6564010,11374330,91646040,26335050,4214650,962223,9868300,7027440,14458410,15028340,5506920,12687440,2403020,12031730,12265980,7148260,4731640,19062640,32566620,15017940,17255540
86674,222.149,716.3068182,2832140,2011110,0,2714200,7565640,0,13873110,8955350,0,8118920,0,7099580,0,0,0,3976770,7298690,0,4798710,3643750,8590440,4008950,3125100,0,0,8273540,9499370,4685793.8,7616930,2664810,42752620,36294070,0,6654900,4694610,3237160,1995980,8265340,6934430,0,5006090,0,8317720,12046424,0,0,3344120,3187520,3216490,0,8934410,17685290,4055430,2486740,8749140,5598830,10149500,2675880,6809560,10579190
47410,222.17,1030.445,1725160,4135720,1527470,1474300,1778440,4359080,0,1718100,2207120,0,4560900,5272160,5885660,6260400,4337930,2484030,3895050,4099390,4941130,3077490,0,4726230,0,0,2045460,10697480,1633520,1674190,2392700,4323670,3646690,3813450,1806440,2947130,4554250,5025950,0,1397070,3491700,5864650,3600480,5451550,4505340,5679490,3457420,1299870,4864390,3720300,1685660,0,1490380,3164790,1988950,1977920,9906700,5404950,3888580,4249460,1757650,1849430
80611,223.366,556.8300952,16084220,28156560,8837910,31590640,71741800,25989200,32202710,34882200,36044270,86682120,40841500,0,31850680,23317260,42217210,43491480,8519650,13353940,17607300,10547510,0,11780300,16152000,0,60423020,55682270,8532680,121019880,0,0,0,9926360,15120710,20962480,15311970,18550880,26848100,0,0,21556780,8609450,13942370,0,15981000,4854722,21181740,10819200,23650100,6309380,35984100,32416400,61385720,66266100,57106600,17443530,14525940,20335450,52113300,30142420,36862780
36159,222.634,568.2176667,3038670,6625540,0,0,6345440,6682210,0,0,0,0,0,0,3633050,0,8385060,6194010,7505120,0,0,0,11943280,2582720,11480600,5401820,13157080,5339980,9351080,3781980,3725290,8590770,15281840,14192210,0,0,0,0,10793540,0,10501180,0,7693260,0,0,0,0,5924480,0,3360140,3884810,11801690,0,0,5778750,11972660,0,0,0,0,3036930,13834700
118784,222.646,448.5195,3620130,10790900,5608320,4555020,10624080,2034030,7342990,5135290,7826510,9760470,2839790,3497050,5617620,1553920,7970910,4694990,7643840,5938720,4993300,4348530,5058380,5678960,7513529,6703860,10328090,8423230,9088520,8003340,5175160,5439690,1461600,3483920,8617290,8275230,2977430,921350,4172240,4822100,9378630,8409240,2806930,12112160,5826300,2140272,2308370,7589560,1601860,2925566,2365640,3459180,4546910,1371960,4775660,4300790,3343410,2773403,985780,6687770,6756892,4796580
100068,223.005,482.2604752,0,1975050,2869720,5372910,0,3401760,0,0,3236520,2840780,5228670,0,0,0,3756330,6996230,3987320,3106940,3704120,0,4125360,0,0,6450060,3736480,0,0,0,3218340,3268750,2158540,0,0,0,0,2468440,0,0,3591440,3284680,2931610,7328840,4299760,2194650,2826460,3178280,0,6955530,0,0,0,2498850,0,0,0,0,3333390,0,2637580,0
113917,223.063,1698.606667,7436040,6217280,1319880,4881900,17342190,4804040,4458590,8073100,9783340,2109980,1546580,3251470,9457960,1183560,3819220,5141330,2801950,2555920,5311930,2768340,12234170,10975800,5858350,6495060,10931280,4105670,12828980,13141290,8755600,5689130,0,0,2104880,5032120,4434254,5811710,6207180,4926320,11784250,3553760,3221760,984962,0,0,1669480,3972300,3417660,11703380,10414250,11419450,7843940,4862380,5795700,9497370,3417380,3721360,3866980,5240530,5176260,10919380
145056,223.126,1100.601291,1201210,2586170,1065520,977052,1190020,1843960,0,823936,1148840,1418050,1562650,690866,1394120,721278,909986,1364920,1633250,1359360,988082,1797130,3038680,1346440,2494760,1380800,2369340,1884180,2506500,0,1263000,1425940,1043160,1254000,2210080,2324220,615694,1651590,1391500,1227610,1831300,975101,1590370,1376740,1483290,848290,766112,2084930,1879100,1062160,1314290,953402,0,1675140,0,1062300,1386140,1751090,2078290,1395340,902940,1594070
