name,mz,rt,Annotation.type,annotated.from.ID,annotated.from.peak,ID,compound.name,isotope,adduct,Formula,score,peak.group,confidence
149387,187.137,470.4997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121261,188.107,803.276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140392,188.283,361.9146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4776,188.639,341.7261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93656,189.136,1130.5285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95529,190.05,1081.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14249,190.649,559.1686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120038,191.035,336.7605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65712,191.046,276.1365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122218,191.096,409.1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82817,191.009,294.4827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16915,191.046,248.1467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124304,191.051,242.8257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96657,191.156,546.2827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62241,191.165,823.1916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
664,191.15,899.2349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147337,191.151,621.063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52743,191.161,675.129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124401,191.124,335.731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119623,191.136,943.341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1296,191.164,533.404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52782,191.172,1101.6314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130299,191.169,786.5389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150924,191.164,699.116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117706,191.171,1097.1175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145052,191.164,487.773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116463,191.165,325.4555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96417,192.249,314.5006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109728,192.134,403.4343,metAnnotation,C02727,79908,C00437,N-Acetylornithine,[M],M+NH4,C7H14N2O3,0.57881761207101,C00437_1,grade3
120100,193.144,363.9935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60085,192.2,489.5012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75517,192.155,519.1855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114258,193.547,320.8097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
