name,mz,rt,CTRL-T01_F01,CTRL-T01_F01_2,CTRL-T01_F04,CTRL-T01_F04_2,CTRL-T01_F05,CTRL-T01_F05_2,CTRL-T01_F11,CTRL-T01_F11_2,CTRL-T01_F15,CTRL-T01_F15_2,CTRL-T01_F17,CTRL-T01_F17_2,CTRL-T01_F23,CTRL-T01_F23_2,CTRL-T01_F26,CTRL-T01_F26_2,CTRL-T01_F33,CTRL-T01_F33_2,CTRL-T01_F38,CTRL-T01_F38_2,PRO-T01_F02,PRO-T01_F02_2,PRO-T01_F07,PRO-T01_F07_2,PRO-T01_F08,PRO-T01_F08_2,PRO-T01_F17,PRO-T01_F17_2,PRO-T01_F19,PRO-T01_F19_2,PRO-T01_F20,PRO-T01_F20_2,PRO-T01_F28,PRO-T01_F28_2,PRO-T01_F31,PRO-T01_F31_2,PRO-T01_F35,PRO-T01_F35_2,PRO-T01_F39,PRO-T01_F39_2,SYN-T01_F01,SYN-T01_F01_2,SYN-T01_F02,SYN-T01_F02_2,SYN-T01_F09,SYN-T01_F09_2,SYN-T01_F12,SYN-T01_F12_2,SYN-T01_F17,SYN-T01_F17_2,SYN-T01_F22,SYN-T01_F22_2,SYN-T01_F31,SYN-T01_F31_2,SYN-T01_F33,SYN-T01_F33_2,SYN-T01_F35,SYN-T01_F35_2,SYN-T01_F37,SYN-T01_F37_2
112108,199.169,666.5805,0,0,0,0,0,0,0,0,0,2569730,0,1783120,0,0,0,0,0,2580510,0,0,0,0,0,2562910,3554880,4194160,0,0,0,0,0,0,2246040,0,1493360,0,0,0,0,0,0,0,0,0,2739910,0,0,0,2384130,0,1469430,2244810,0,0,0,0,2005150,3067190,1728390,1854270
80721,199.169,1045.51625,0,0,0,0,0,0,0,0,0,0,0,0,0,3901190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3901900,8653120,0,0,0,0
141685,199.169,1095.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34962300,0,0,0,0,0,16255300,34107200,41435900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124951,199.169,787.9202,0,0,0,15639700,0,9145570,0,0,0,0,0,0,0,0,25030500,0,0,0,0,3008640,0,0,0,0,0,0,0,0,7729730,0,7624160,0,9658100,29070610,4913630,5189990,0,0,0,0,21411100,0,0,0,0,0,5490110,0,0,0,0,0,0,0,22643150,0,0,0,0,0
36391,199.189,630.628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121712,199.169,575.5965,0,0,2204040,1777550,2499010,2025450,2106830,3161980,0,1948260,0,0,0,0,4673260,3454060,3930320,2985560,0,0,0,0,1989230,0,0,0,3470920,2755540,0,0,0,0,1228140,0,9898980,13109900,1428270,1779590,0,0,0,0,0,0,0,0,0,0,0,0,0,23595400,3659150,3551040,50664800,0,6179480,0,0,0
149228,199.187,1220.1035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,902522,0,0,812340,0,0,0,0,0,0,0,0
150496,199.169,906.873,0,0,0,0,0,0,0,0,0,62068.3,67094.2,0,0,0,0,0,0,0,0,0,0,0,0,55622.4,0,0,0,55819,0,0,0,0,0,0,40000.3,0,0,66785.5,0,0,0,0,0,0,0,86074.3,0,154117,0,0,0,83089.9,0,0,0,70636.7,0,0,0,0
146139,199.193,1255.017333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544954,728357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87438,199.169,651.2156,1375430,1194570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
